Species,Length1,Length2,Length3,Height,Width
Roach,19.4,21.0,23.7,6.1146,3.2943
Perch,19.3,21.3,22.8,6.384,3.534
Perch,17.2,19.0,20.2,5.6358,3.0502
Parkki,17.5,19.0,21.3,8.3922,2.9181
Parkki,16.3,17.7,19.8,7.4052,2.673
Perch,22.0,24.0,25.5,7.293,3.723
Perch,15.0,16.2,17.2,4.5924,2.6316
Pike,40.0,42.5,45.5,6.825,4.459
Bream,27.6,30.0,35.0,12.67,4.69
Roach,18.6,20.0,22.2,6.216,3.5742
Pike,59.0,63.4,68.0,10.812,7.48
Perch,23.0,25.0,26.5,6.4395,3.6835
Bream,31.3,34.0,39.5,15.1285,5.5695
Perch,41.1,44.0,46.6,12.4888,7.5958
Perch,12.5,13.7,14.7,3.528,1.9992
Bream,31.5,34.5,39.7,15.5227,5.2801
Roach,21.0,22.5,25.0,6.55,3.325
Bream,32.8,36.0,41.6,16.8896,6.1984
Pike,56.0,60.0,64.0,9.6,6.144
Perch,17.8,19.6,20.8,5.1376,3.0368
Bream,30.9,33.5,38.6,15.633,5.1338
Roach,22.1,23.5,26.8,7.3968,4.1272
Perch,16.8,18.7,19.4,5.1992,3.1234
Perch,22.0,24.0,25.5,6.375,3.825
Pike,32.7,35.0,38.8,5.9364,4.3844
Perch,32.0,34.5,36.5,10.2565,6.3875
Whitefish,25.6,28.0,30.8,8.778,4.6816
Smelt,11.5,12.2,13.4,2.0904,1.3936
Smelt,13.8,15.0,16.2,2.9322,1.8792
Smelt,10.1,10.6,11.6,1.7284,1.1484
Bream,38.0,41.0,46.5,17.6235,6.3705
Bream,26.8,29.7,34.5,14.1795,5.2785
Bream,29.4,32.0,37.2,14.9544,5.1708
Parkki,19.0,20.7,23.2,9.396,3.4104
Smelt,12.1,13.0,13.8,2.277,1.2558
Roach,17.5,18.8,21.2,5.5756,2.9044
Perch,20.0,22.0,23.5,5.875,3.525
Perch,37.0,40.0,42.4,12.3808,7.4624
Bream,31.8,35.0,40.9,16.36,6.0532
Perch,20.5,22.5,24.0,5.856,3.624
