Species,Weight,Length1,Length2,Length3,Height,Width
Roach,150.0,20.4,22.0,24.7,5.8045,3.7544
Perch,250.0,25.4,27.5,28.9,7.2828,4.5662
Bream,430.0,26.5,29.0,34.0,12.444,5.134
Bream,925.0,36.2,39.5,45.3,18.7542,6.7497
Perch,110.0,19.0,21.0,22.5,5.6925,3.555
Perch,197.0,23.5,25.6,27.0,6.561,4.239
Perch,70.0,15.7,17.4,18.5,4.588,2.9415
Bream,700.0,30.4,33.0,38.5,14.938,5.1975
Whitefish,270.0,24.1,26.5,29.3,8.1454,4.2485
Bream,242.0,23.2,25.4,30.0,11.52,4.02
Perch,115.0,19.0,21.0,22.5,5.9175,3.3075
Bream,920.0,35.0,38.5,44.1,18.0369,6.3063
Perch,250.0,25.9,28.0,29.4,7.8204,4.2042
Smelt,9.9,11.3,11.8,13.1,2.2139,1.1659
Perch,150.0,21.0,23.0,24.5,5.2185,3.626
Roach,0.0,19.0,20.5,22.8,6.4752,3.3516
Smelt,6.7,9.3,9.8,10.8,1.7388,1.0476
Perch,320.0,27.8,30.0,31.6,7.6156,4.7716
Perch,218.0,25.0,26.5,28.0,7.168,4.144
Bream,700.0,30.4,33.0,38.3,14.8604,5.2854
Bream,955.0,35.0,38.5,44.0,18.084,6.292
Perch,900.0,37.0,40.0,42.5,11.73,7.225
Smelt,8.7,10.8,11.3,12.6,1.9782,1.2852
Roach,161.0,22.0,23.4,26.7,6.9153,3.6312
Bream,500.0,28.7,31.0,36.2,14.3714,4.8146
Parkki,150.0,18.4,20.0,22.4,8.8928,3.2928
Bream,500.0,29.1,31.5,36.4,13.7592,4.368
Perch,1100.0,40.1,43.0,45.5,12.5125,7.4165
Perch,85.0,18.2,20.0,21.0,5.082,2.772
Smelt,9.7,10.4,11.0,12.0,2.196,1.38
Bream,650.0,31.0,33.5,38.7,14.4738,5.7276
Whitefish,800.0,33.7,36.4,39.6,11.7612,6.5736
Roach,290.0,24.0,26.0,29.2,8.8768,4.4968
Pike,430.0,35.5,38.0,40.5,7.29,4.5765
Perch,840.0,32.5,35.0,37.3,11.4884,7.7957
Pike,950.0,48.3,51.7,55.1,8.9262,6.1712
Smelt,10.0,11.3,11.8,13.1,2.2139,1.2838
Perch,1000.0,40.2,43.5,46.0,12.604,8.142
Bream,340.0,23.9,26.5,31.1,12.3778,4.6961
Perch,300.0,26.9,28.7,30.1,7.5852,4.6354
Parkki,200.0,21.2,23.0,25.8,10.3458,3.6636
Perch,300.0,25.2,27.3,28.7,8.323,5.1373
Perch,145.0,20.7,22.7,24.2,5.9532,3.63
Roach,160.0,21.1,22.5,25.0,6.4,3.8
Parkki,55.0,13.5,14.7,16.5,6.8475,2.3265
Bream,714.0,32.7,36.0,41.5,16.517,5.8515
Roach,87.0,18.2,19.8,22.2,5.6166,3.1746
Bream,363.0,26.3,29.0,33.5,12.73,4.4555
Perch,120.0,20.0,22.0,23.5,5.64,3.525
Parkki,145.0,19.8,21.5,24.1,9.7364,3.1571
Bream,600.0,29.4,32.0,37.2,15.438,5.58
Smelt,7.5,10.0,10.5,11.6,1.972,1.16
Perch,650.0,36.5,39.0,41.4,11.1366,6.003
Bream,450.0,26.8,29.7,34.7,13.6024,4.9274
Bream,500.0,28.5,30.7,36.2,14.2266,4.9594
Pike,770.0,44.8,48.0,51.2,7.68,5.376
Bream,685.0,31.4,34.0,39.2,15.9936,5.3704
Perch,150.0,20.5,22.5,24.0,6.792,3.624
Perch,685.0,34.0,36.5,39.0,10.881,6.864
Smelt,19.7,13.2,14.3,15.2,2.8728,2.0672
Pike,540.0,40.1,43.0,45.8,7.786,5.1296
Bream,475.0,28.4,31.0,36.2,14.2628,5.1042
Pike,456.0,40.0,42.5,45.5,7.28,4.3225
Perch,125.0,19.0,21.0,22.5,5.6925,3.6675
Perch,514.0,30.5,32.8,34.0,10.03,6.018
Bream,290.0,24.0,26.3,31.2,12.48,4.3056
Roach,169.0,22.0,24.0,27.2,7.5344,3.8352
Perch,260.0,25.4,27.5,28.9,7.1672,4.335
Roach,40.0,12.9,14.1,16.2,4.1472,2.268
Perch,130.0,20.0,22.0,23.5,6.11,3.525
Pike,300.0,34.8,37.3,39.8,6.2884,4.0198
Perch,170.0,21.5,23.5,25.0,6.275,3.725
Roach,390.0,29.5,31.7,35.0,9.485,5.355
Bream,340.0,29.5,32.0,37.3,13.9129,5.0728
Perch,900.0,36.5,39.0,41.4,11.1366,7.4934
Bream,975.0,37.4,41.0,45.9,18.6354,6.7473
Pike,345.0,36.0,38.5,41.0,6.396,3.977
Perch,700.0,34.5,37.0,39.4,10.835,6.2646
Pike,567.0,43.2,46.0,48.7,7.792,4.87
Perch,265.0,25.4,27.5,28.9,7.0516,4.335
Parkki,300.0,24.0,26.0,29.0,11.368,4.234
Whitefish,540.0,28.5,31.0,34.0,10.744,6.562
Pike,1550.0,56.0,60.0,64.0,9.6,6.144
Bream,680.0,31.8,35.0,40.6,15.4686,6.1306
Smelt,9.8,11.4,12.0,13.2,2.2044,1.1484
Perch,1100.0,39.0,42.0,44.6,12.8002,6.8684
Perch,40.0,13.8,15.0,16.0,3.824,2.432
Roach,69.0,16.5,18.2,20.3,5.2983,2.8217
Bream,450.0,27.6,30.0,35.1,14.0049,4.8438
Roach,145.0,20.5,22.0,24.3,6.6339,3.5478
Perch,1000.0,39.8,43.0,45.2,11.9328,7.2772
Perch,100.0,16.2,18.0,19.2,5.2224,3.3216
Bream,700.0,31.9,35.0,40.5,16.2405,5.589
Pike,1250.0,52.0,56.0,59.7,10.6863,6.9849
Roach,272.0,25.0,27.0,30.6,8.568,4.7736
Parkki,60.0,14.3,15.5,17.4,6.5772,2.3142
Bream,720.0,32.0,35.0,40.6,16.3618,6.09
Roach,180.0,23.6,25.2,27.9,7.0866,3.906
Roach,160.0,20.5,22.5,25.3,7.0334,3.8203
Pike,200.0,30.0,32.3,34.8,5.568,3.3756
Roach,110.0,19.1,20.8,23.1,6.1677,3.3957
Perch,820.0,37.1,40.0,42.5,11.135,6.63
Smelt,9.8,10.7,11.2,12.4,2.0832,1.2772
Parkki,140.0,19.0,20.7,23.2,8.5376,3.2944
Pike,300.0,31.7,34.0,37.8,5.7078,4.158
Perch,5.9,7.5,8.4,8.8,2.112,1.408
Smelt,13.4,11.7,12.4,13.5,2.43,1.269
Whitefish,270.0,23.6,26.0,28.7,8.3804,4.2476
Bream,1000.0,33.5,37.0,42.6,18.957,6.603
Perch,188.0,22.6,24.6,26.2,6.7334,4.1658
Perch,700.0,34.0,36.0,38.3,10.6091,6.7408
Perch,110.0,20.0,22.0,23.5,5.5225,3.995
Perch,690.0,34.6,37.0,39.3,10.5717,6.3666
Perch,850.0,36.9,40.0,42.3,11.9286,7.1064
Parkki,273.0,23.0,25.0,28.0,11.088,4.144
Pike,500.0,42.0,45.0,48.0,6.96,4.896
Whitefish,1000.0,37.3,40.0,43.5,12.354,6.525
Perch,120.0,20.0,22.0,23.5,6.11,3.4075
Perch,820.0,36.6,39.0,41.3,12.4313,7.3514
